19975737734	Quick and hot	2026-08-31	13.79	39	26.9	0
19953569620	UZB	2026-08-29	19.15	85	21.8	0
19884348194	Extra slow	2026-08-24	14.15	34	16.8	0
19860630149	Anti-antiklimatična nedelja	2026-08-23	21.01	52	9.7	0
19842033836	Walk	2026-08-21	2.58	9	6.7	0
19841768291	Almost expo	2026-08-21	15.58	14	23.0	0
19822025468	Brza Avala	2026-08-20	7.58	210	17.0	0
19785562252	Uživanje, lepinja i pola Avale	2026-08-17	37.81	133	17.1	0
19777893333	Woohoo	2026-08-17	12.63	39	14.3	0
19744036300	Recovery	2026-08-14	21.98	103	19.2	0
19742733027	Ada lepa	2026-08-14	27.4	76	26.0	0
19716468853	Chill	2026-08-12	2.62	0	19.7	0
19715602320	Expolosion i par uspončića čisto malo	2026-08-12	37.02	199	22.5	0
19701854506	Rip tire	2026-08-11	12.32	14	23.4	0
19637009057	Antiperfekcionistička distanca	2026-08-07	9.99	11	25.9	0
19609116065	Hottie	2026-08-05	55.36	617	20.7	0
19589118687	Nightie	2026-08-03	33.55	261	21.5	0
19488190444	Quickie	2026-07-27	12.52	35	26.3	0
19487763630	Chill	2026-07-27	13.9	31	16.8	0
19464241907	Relax	2026-07-25	17.18	87	19.0	0
19366811139	Fruškać	2026-07-18	47.63	1098	17.5	0
19294066509	Quick	2026-07-13	12.46	38	25.6	0
19285957395	Ada ring	2026-07-12	8.01	6	23.6	0
19273223046	Relax	2026-07-11	34.26	141	20.4	0
19241492636	Adica	2026-07-09	27.38	74	21.9	0
19142034113	Ld	2026-07-01	6.69	0	9.6	0
19066153307	Run	2026-06-25	6.7	0	8.9	0
18962971178	LD RUN	2026-06-17	7.28	0	9.7	0
18945027708	4 Avale, 2 točka, 1 biciklomanijak	2026-06-16	33.69	899	14.9	0
18906335600	Eva i Adam	2026-06-13	66.32	319	21.1	0
18826928897	Enjoyed	2026-06-07	84.45	548	21.1	0
18814286855	3beer run	2026-06-06	6.05	4	9.1	0
18794176761	Quickie	2026-06-05	12.09	41	24.9	0
18774835264	Ld	2026-06-03	7.54	0	10.2	0
18719500164	Run	2026-05-30	6.07	3	9.1	0
18694616486	Nightie	2026-05-28	16.9	32	24.6	0
18680009454	Run classic	2026-05-27	6.18	0	10.6	0
18666625020	Night quickie	2026-05-26	12.67	38	21.9	0
18645653349	Quick	2026-05-25	11.94	38	24.6	0
18626060335	Run hehe	2026-05-23	5.83	0	10.5	0
18622182499	BG SM BG	2026-05-23	117.15	567	21.0	0
18565978930	Ride	2026-05-19	40.93	77	21.8	0
18557809222	Quick	2026-05-18	19.13	48	23.3	0
18547951396	Nice run	2026-05-17	5.5	0	9.7	0
18516920218	Xd	2026-05-15	32.14	88	12.1	0
18495112845	Runic	2026-05-13	5.85	0	10.1	0
18487867222	Quickie	2026-05-13	12.19	35	20.8	0
18443034031	Runn	2026-05-09	4.56	0	9.2	0
18428822803	Ride	2026-05-08	33.19	280	17.3	0
18403645454	Run	2026-05-06	5.31	0	9.9	0
18364607658	Fast	2026-05-03	4.03	19	12.1	0
18348864791	Lets goo	2026-05-02	6.83	33	12.2	0
18067733110	Let the season begin	2026-04-11	55.17	654	15.8	0
17924010568	Run	2026-03-31	4.73	26	9.2	0
17821596340	Run	2026-03-22	6.12	45	9.8	0
17743254610	Run	2026-03-16	5.77	31	9.9	0
17577937993	Run mond	2026-03-02	7.53	34	10.4	0
17498234852	Run	2026-02-23	5.68	24	11.1	0
17418852599	Run	2026-02-16	4.95	21	9.8	0
17343966082	Nice run	2026-02-09	6.64	28	9.9	0
17310922174	Shortie	2026-02-06	3.12	12	10.3	0
17264877765	Cold run	2026-02-02	5.69	27	9.8	0
17209632571	Run	2026-01-28	6.52	32	9.9	0
17186160595	Small run	2026-01-26	5.92	13	10.4	0
17153360747	Run	2026-01-23	10.3	57	9.4	0
17108098885	Run	2026-01-19	10.03	24	9.8	0
17096806814	Run	2026-01-18	5.91	24	9.7	0
17072806928	Run	2026-01-16	7.63	36	8.7	0
16987576918	Dobro jutro ✨	2026-01-09	8.43	39	8.4	0
16909858324	Trc	2026-01-02	6.76	34	8.4	0
16871361169	Morning run	2025-12-29	6.64	31	9.1	0
